leg,glyph,turn,turn_deg,segment,off_trail,miles,leg_min,elapsed,running_miles,running_trails,running_score
1,●,start,,Start/Finish,False,0.01,0.2,0:00,0.0,0,0.0
2,→,right,90.0,Meadowbrook Drive,False,0.03,0.4,0:00,0.0,0,0.0
3,↑,straight,-3.0,Gateway,False,0.13,1.8,0:02,0.127,0,0.127
4,←,left,-105.5,Bike Park: Climbing Trail,False,0.02,0.4,0:02,0.148,0,0.148
5,↘,sharp right,126.5,Bike Park: Blue,False,0.15,2.7,0:05,0.296,1,1.296
6,↙,sharp left,-157.6,Bike Park: Green,False,0.14,2.0,0:07,0.437,2,2.437
7,↘,sharp right,163.4,Bike Park: Climbing Trail,False,0.15,2.7,0:10,0.583,3,3.583
8,→,right,64.8,Bike Park: Black,False,0.12,1.7,0:11,0.698,4,4.698
9,↙,sharp left,-160.5,Gateway,False,0.09,1.6,0:13,0.791,4,4.791
10,→,right,118.3,Lower Chimney,False,0.05,0.8,0:14,0.838,4,4.838
11,↗,slight right,28.1,Gateway,False,0.03,0.6,0:14,0.872,4,4.872
12,↑,straight,18.6,Lower Chimney,False,0.62,11.2,0:26,1.491,4,5.491
13,↖,slight left,-20.8,Gateway,False,0.07,1.5,0:27,1.564,4,5.564
14,↖,slight left,-52.3,Upper Chimney,False,1.15,22.3,0:49,2.717,4,6.717
15,↙,sharp left,-146.1,Wavelength,False,0.8,12.5,1:02,3.517,5,8.517
16,←,left,-110.6,Mineral Way,False,0.19,2.9,1:05,3.709,5,8.709
17,↖,slight left,-53.7,Stone Cutter's Hollow Access Road,False,0.11,1.4,1:06,3.709,5,8.709
18,→,right,88.9,Meadowbrook Drive,False,0.39,5.5,1:12,3.709,5,8.709
19,→,right,83.4,Highway,False,0.11,2.2,1:14,3.823,5,8.823
20,↘,sharp right,134.3,Pine Forest,False,0.48,8.2,1:22,4.304,6,10.304
21,↘,sharp right,131.7,Highway,False,0.08,1.5,1:24,4.388,6,10.388
22,↘,sharp right,143.1,Ida May,False,0.67,12.5,1:36,5.039,7,12.039
23,→,right,77.7,Turkey Trot,False,0.65,11.9,1:48,5.628,8,13.628
24,↘,sharp right,139.7,Wilkes Wood,False,0.84,15.5,2:03,6.272,9,15.272
25,↑,straight,-19.0,Crosscut,False,0.61,12.4,2:16,6.884,10,16.884
26,↖,slight left,-27.6,Highway,False,0.02,0.4,2:16,6.903,10,16.903
27,↙,sharp left,-141.2,Forest Service Road,False,0.24,4.4,2:21,6.903,10,16.903
28,↘,sharp right,129.0,Beauty,False,1.21,20.1,2:41,8.114,11,19.114
29,↗,slight right,22.9,Poverty Creek (upper),False,1.6,24.7,3:05,9.719,11,20.719
30,↗,slight right,32.2,Snakeroot,False,0.07,1.1,3:07,9.792,11,20.792
31,→,right,103.4,May Apple,False,0.75,10.6,3:17,10.544,12,22.544
32,←,left,-73.2,Forest Service Road,False,0.39,5.7,3:23,10.544,12,22.544
33,→,right,98.3,Queen Anne,False,0.98,16.8,3:40,11.349,13,24.349
34,→,right,98.4,Skullcap,False,0.51,9.0,3:49,11.863,13,24.863
35,→,right,90.4,Prickly Pear,False,0.83,15.6,4:04,12.69,14,26.69
36,↑,straight,-17.3,Royale,False,0.74,10.7,4:15,13.43,15,28.43
37,←,left,-74.2,Poverty Creek (upper),False,1.19,18.7,4:34,14.621,15,29.621
38,↑,straight,1.9,Forest Service Road 808,False,0.03,0.5,4:34,14.621,15,29.621
39,↗,slight right,32.8,Horse Nettle,False,1.46,27.4,5:02,16.077,16,32.077
40,↑,straight,2.3,Forest Service Road / Horse Nettle,False,0.13,2.6,5:04,16.077,16,32.077
41,↖,slight left,-26.1,Running Cedar,False,0.81,13.0,5:17,16.831,16,32.831
42,↑,straight,15.6,Slytherin,False,0.46,6.7,5:24,17.289,16,33.289
43,←,left,-123.9,Grinder,False,0.12,2.4,5:26,17.413,16,33.413
44,↘,sharp right,130.9,Old Road Bed,False,0.06,1.2,5:27,17.476,16,33.476
